sku,produit,format,poids_g,prix_demo_cad,prix_detail_cad,prix_gros_cad
AE-SNG-CME-50G,Coco menthe,Sachet 50 g,50,3.49,,
AE-SNG-FON-1KG,Fonio,Sachet 1 kg,1000,15.99,,
AE-SNG-FON-500G,Fonio,Sachet 500 g,500,8.99,,
AE-SNG-GIN-1KG,Poudre de gingembre,Sachet 1 kg,1000,26.99,,
AE-SNG-GIN-500G,Poudre de gingembre,Sachet 500 g,500,14.99,,
AE-SNG-GIR-1KG,Poudre de girofle,Sachet 1 kg,1000,32.99,,
AE-SNG-GIR-250G,Poudre de girofle,Sachet 250 g,250,9.99,,
AE-SNG-GIR-500G,Poudre de girofle,Sachet 500 g,500,17.99,,
AE-SNG-MAD-SACHET,Madd en sachet,Sachet,,7.99,,
AE-SNG-MBO-1KG,Sauce mboum,Sachet 1 kg,1000,24.99,,
AE-SNG-MBO-500G,Sauce mboum,Sachet 500 g,500,13.99,,
AE-SNG-MBX-1KG,Mbaxal Saloum,Sachet 1 kg,1000,24.99,,
AE-SNG-MBX-500G,Mbaxal Saloum,Sachet 500 g,500,13.99,,
AE-SNG-MOR-1KG,Poudre de moringa,Sachet 1 kg,1000,26.99,,
AE-SNG-MOR-500G,Poudre de moringa,Sachet 500 g,500,14.99,,
AE-SNG-MSE-SACHET,Mangue séchée,Sachet,,9.99,,
AE-SNG-NDI-1KG,Ndir (racines de vétiver),Sachet 1 kg,1000,26.99,,
AE-SNG-NDI-500G,Ndir (racines de vétiver),Sachet 500 g,500,14.99,,
AE-SNG-NGA-1KG,Ngalakh instantané,Sachet 1 kg,1000,22.99,,
AE-SNG-NGA-3KG,Ngalakh instantané,Sac 3 kg,3000,59.99,,
AE-SNG-NGO-1KG,Ngourbane,Sachet 1 kg,1000,24.99,,
AE-SNG-NGO-500G,Ngourbane,Sachet 500 g,500,13.99,,
AE-SNG-PCO-1KG,Poudre de petit cola,Sachet 1 kg,1000,32.99,,
AE-SNG-PCO-250G,Poudre de petit cola,Sachet 250 g,250,9.99,,
AE-SNG-PCO-500G,Poudre de petit cola,Sachet 500 g,500,17.99,,
AE-SNG-SAN-1KG,Sankal,Sachet 1 kg,1000,15.99,,
AE-SNG-SAN-500G,Sankal,Sachet 500 g,500,8.99,,
AE-SNG-SOL-1KG,Poudre de solom,Sachet 1 kg,1000,26.99,,
AE-SNG-SOL-500G,Poudre de solom,Sachet 500 g,500,14.99,,
AE-SNG-SOU-1KG,Poudre de souchet,Sachet 1 kg,1000,26.99,,
AE-SNG-SOU-500G,Poudre de souchet,Sachet 500 g,500,14.99,,
AE-SNG-TCO-1KG,Thiakry coco,Sachet 1 kg,1000,15.99,,
AE-SNG-TCO-500G,Thiakry coco,Sachet 500 g,500,8.99,,
AE-SNG-THB-BOX,Thé hibiscus,Boîte,,12.99,,
AE-SNG-THG-BOX,Thé gingembre,Boîte,,12.99,,
AE-SNG-THI-1KG,Thiéré,Sachet 1 kg,1000,15.99,,
AE-SNG-THI-500G,Thiéré,Sachet 500 g,500,8.99,,
AE-SNG-THM-BOX,Thé moringa,Boîte,,12.99,,
AE-SNG-THW-BOX,Thé Wass,Boîte,,12.99,,
AE-SNG-TKR-1KG,Thiakry,Sachet 1 kg,1000,15.99,,
AE-SNG-TKR-500G,Thiakry,Sachet 500 g,500,8.99,,
AE-SNG-TMA-1KG,Thiakry mangue,Sachet 1 kg,1000,15.99,,
AE-SNG-TMA-500G,Thiakry mangue,Sachet 500 g,500,8.99,,
AE-SNG-TOU-1KG,Café Touba,Sachet 1 kg,1000,29.99,,
AE-SNG-TOU-500G,Café Touba,Sachet 500 g,500,16.99,,
AE-SNG-TPA-1KG,Thiakry papaye,Sachet 1 kg,1000,15.99,,
AE-SNG-TPA-500G,Thiakry papaye,Sachet 500 g,500,8.99,,
AE-SNG-WAS-125G,Wass en vrac,Sachet 125 g,125,6.99,,
AE-SNG-WAS-1KG,Wass en vrac,Sachet 1 kg,1000,39.99,,
AE-SNG-WAS-250G,Wass en vrac,Sachet 250 g,250,11.99,,
AE-SNG-WAS-500G,Wass en vrac,Sachet 500 g,500,21.99,,
